Date,real Temperature,empty column,Feel Temperature,Humidity,Wind Speed,weather code,DO NOT TOUCH THIS COLUMN,is holiday,is weekend,season,count
04/01/2015,2.75,NA,0,93,7.5,broken_clouds,NA,FALSE,TRUE,winter,9234
05/01/2015,9,NA,7.25,81.5,8.854166667,broken_clouds,NA,FALSE,FALSE,winter,20372
04/01/2015,2.75,NA,0,93,7.5,broken_clouds,NA,FALSE,TRUE,winter,9234
05/01/2015,9,NA,7.25,81.5,8.854166667,broken_clouds,NA,FALSE,FALSE,winter,20372
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/01/2015,8,NA,5.75,79.75,16,clear,NA,FALSE,FALSE,winter,20613
07/01/2015,9,NA,5.5,81,19.76086957,scattered_clouds,NA,FALSE,FALSE,winter,21064
08/01/2015,9,NA,6.75,79.5,20.47916667,rain,NA,FALSE,FALSE,winter,15601
08/01/2015,9,NA,6.75,79.5,20.47916667,rain,NA,FALSE,FALSE,winter,15601
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/01/2015,13,NA,13,75.75,32.91666667,broken_clouds,NA,FALSE,FALSE,winter,22104
10/01/2015,11.5,NA,11.5,66.75,34.3125,broken_clouds,NA,FALSE,TRUE,winter,14709
11/01/2015,7.75,NA,3.75,69,26.5625,clear,NA,FALSE,TRUE,winter,14575
12/01/2015,11.5,NA,11.5,76.5,28.1875,rain,NA,FALSE,FALSE,winter,17199
13/01/2015,9,NA,6,74.75,21.20833333,rain,NA,FALSE,FALSE,NA,24697
14/01/2015,6,NA,2,68.5,25.75,scattered_clouds,NA,FALSE,FALSE,winter,23565
15/01/2015,9,NA,NA,66,31.16666667,NA,NA,FALSE,FALSE,winter,22968
16/01/2015,6.5,NA,3,68.5,17.45833333,clear,NA,FALSE,FALSE,winter,22663
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/01/2015,5,NA,1.75,76,13.58333333,clear,NA,FALSE,TRUE,winter,15268
18/01/2015,4,NA,2,87,6.979166667,rain,NA,FALSE,TRUE,winter,13199
19/01/2015,2.25,NA,1.25,76.5,6.1875,NA,NA,FALSE,FALSE,winter,23034
20/01/2015,3,NA,0.25,78,9.166666667,clear,NA,FALSE,FALSE,winter,23247
21/01/2015,3,NA,-1,87,14.72916667,NA,NA,FALSE,FALSE,NA,22782
22/01/2015,2,NA,1,79,6.729166667,broken_clouds,NA,FALSE,FALSE,winter,23278
23/01/2015,3.75,NA,0.75,83,12.41666667,clear,NA,FALSE,FALSE,winter,21892
24/01/2015,5.75,NA,2,71.25,18.0625,clear,NA,FALSE,TRUE,winter,17539
25/01/2015,7.25,NA,4.5,79.5,16.16666667,broken_clouds,NA,FALSE,TRUE,winter,15094
26/01/2015,9,NA,6,76,18.95833333,broken_clouds,NA,FALSE,FALSE,winter,22710
27/01/2015,7,NA,4,71,15.29166667,clear,NA,FALSE,FALSE,winter,25000
28/01/2015,7,NA,NA,73,29.14583333,clear,NA,FALSE,FALSE,winter,21536
29/01/2015,3,NA,-2,75,26.5625,scattered_clouds,NA,FALSE,FALSE,winter,21275
30/01/2015,3.75,NA,NA,75,17.47916667,broken_clouds,NA,FALSE,FALSE,winter,21171
31/01/2015,3.25,NA,NA,81,20.125,rain,NA,FALSE,TRUE,winter,10250
01/02/2015,4,NA,NA,65,24.77083333,broken_clouds,NA,FALSE,TRUE,winter,11305
02/02/2015,1.25,NA,-2,65.75,12.625,clear,NA,FALSE,FALSE,winter,21640
03/02/2015,2,NA,-1.25,87,11.83333333,broken_clouds,NA,FALSE,FALSE,winter,19869
04/02/2015,3,NA,-0.5,81,14.125,broken_clouds,NA,FALSE,FALSE,winter,21850
05/02/2015,2.5,NA,-1,81,16.02083333,scattered_clouds,NA,FALSE,FALSE,winter,21200
06/02/2015,2,NA,-2,70,19.27083333,scattered_clouds,NA,FALSE,FALSE,winter,20955
07/02/2015,4.25,NA,2,82.75,11.3125,broken_clouds,NA,FALSE,TRUE,winter,13149
08/02/2015,5,NA,2.25,78.5,10.25,scattered_clouds,NA,FALSE,TRUE,winter,15778
09/02/2015,5,NA,3.5,87,9.208333333,scattered_clouds,NA,FALSE,FALSE,winter,23858
10/02/2015,6,NA,NA,76,6.47826087,NA,NA,FALSE,FALSE,winter,23559
11/02/2015,5,NA,3,76,7.645833333,cloudy,NA,FALSE,FALSE,winter,23680
12/02/2015,4,NA,2.5,72.5,7.208333333,cloudy,NA,FALSE,FALSE,winter,23227
13/02/2015,7.5,NA,4.5,84.5,17.8125,rain,NA,FALSE,FALSE,winter,17699
14/02/2015,7.25,NA,5,87,12.375,broken_clouds,NA,FALSE,TRUE,winter,14423
15/02/2015,6.25,NA,NA,93,7.333333333,broken_clouds,NA,FALSE,TRUE,winter,16952
16/02/2015,6,NA,3.75,90,9.75,rain,NA,FALSE,FALSE,winter,16381
17/02/2015,5.5,NA,3.25,69.25,12.1875,clear,NA,FALSE,FALSE,winter,25064
18/02/2015,7,NA,NA,73.5,15.16666667,NA,NA,FALSE,FALSE,winter,25132
19/02/2015,8,NA,4,81,21.125,rain,NA,FALSE,FALSE,winter,16898
20/02/2015,7,NA,5,81,9.416666667,NA,NA,FALSE,FALSE,winter,20715
21/02/2015,4.25,NA,1,75,16.20833333,scattered_clouds,NA,FALSE,TRUE,winter,16198
22/02/2015,5.5,NA,1.5,85.5,21.25,clear,NA,FALSE,TRUE,winter,9086
23/02/2015,6.75,NA,3,69.25,25.875,scattered_clouds,NA,FALSE,FALSE,winter,21764
24/02/2015,6.75,NA,3,69.75,27,scattered_clouds,NA,FALSE,FALSE,winter,23688
25/02/2015,10,NA,8,78.5,11.10416667,scattered_clouds,NA,FALSE,FALSE,winter,21592
26/02/2015,10,NA,8,88,16.91666667,rain,NA,FALSE,FALSE,winter,20036
27/02/2015,5.75,NA,3.25,69.25,14.3125,clear,NA,FALSE,FALSE,NA,24367
28/02/2015,9,NA,6,85,23.08333333,broken_clouds,NA,FALSE,TRUE,winter,13529
01/03/2015,9,NA,NA,68.75,29.58333333,scattered_clouds,NA,FALSE,TRUE,spring,15641
02/03/2015,5.75,NA,NA,67.25,28.3125,clear,NA,FALSE,FALSE,spring,22258
03/03/2015,6.25,NA,2.75,66,23.04166667,NA,NA,FALSE,FALSE,spring,23845
04/03/2015,6.75,NA,4,65,20.20833333,clear,NA,FALSE,FALSE,spring,24485
05/03/2015,8.5,NA,5.25,62,16.6875,clear,NA,FALSE,FALSE,spring,24896
06/03/2015,8,NA,5.5,64,17.52083333,clear,NA,FALSE,FALSE,spring,25337
07/03/2015,9.25,NA,NA,66.5,18.39583333,clear,NA,FALSE,TRUE,spring,27365
08/03/2015,9.25,NA,8,79,14.22916667,scattered_clouds,NA,FALSE,TRUE,spring,20017
09/03/2015,9.25,NA,7,82,14.3125,broken_clouds,NA,FALSE,FALSE,spring,24037
10/03/2015,9,NA,6.25,71,10.625,clear,NA,FALSE,FALSE,spring,27674
11/03/2015,9.25,NA,8,73.75,11.22916667,clear,NA,FALSE,FALSE,spring,27419
12/03/2015,10,NA,8,50,13.58333333,clear,NA,FALSE,FALSE,spring,28131
13/03/2015,8.75,NA,6.5,60,17.77083333,clear,NA,FALSE,FALSE,spring,25700
14/03/2015,6,NA,3,70,17.95833333,cloudy,NA,FALSE,TRUE,spring,18101
15/03/2015,6,NA,NA,81,16.3125,rain,NA,FALSE,TRUE,spring,10662
16/03/2015,6.75,NA,4,87,13.6875,rain,NA,FALSE,FALSE,spring,19824
17/03/2015,8,NA,6,90,10.20833333,rain,NA,FALSE,FALSE,spring,25780
18/03/2015,7,NA,5,77.25,12.20833333,broken_clouds,NA,FALSE,FALSE,spring,26439
19/03/2015,7,NA,4.5,81,15.08333333,cloudy,NA,FALSE,FALSE,spring,24077
20/03/2015,6.25,NA,NA,79.75,9.854166667,clear,NA,FALSE,FALSE,spring,25226
21/03/2015,8,NA,NA,73.5,16.47916667,broken_clouds,NA,FALSE,TRUE,spring,16116
22/03/2015,6,NA,3.5,67.25,12.39583333,broken_clouds,NA,FALSE,TRUE,spring,18618
23/03/2015,9,NA,7,63,11.91666667,scattered_clouds,NA,FALSE,FALSE,spring,25592
24/03/2015,7.25,NA,5.5,71,9.354166667,rain,NA,FALSE,FALSE,spring,24083
25/03/2015,6.5,NA,4.5,71,7.9375,clear,NA,FALSE,FALSE,spring,25672
26/03/2015,8.5,NA,5.5,76.5,20.83333333,clear,NA,FALSE,FALSE,spring,20305
27/03/2015,8,NA,6.75,61.75,15.72916667,clear,NA,FALSE,FALSE,NA,26348
28/03/2015,12.5,NA,12.5,78.25,22.89583333,broken_clouds,NA,FALSE,TRUE,spring,18986
29/03/2015,11,NA,11,77,30.77173913,rain,NA,FALSE,TRUE,spring,8592
30/03/2015,9.5,NA,6.75,66,26.33333333,NA,NA,FALSE,FALSE,spring,22106
31/03/2015,11,NA,11,56,41.9,clear,NA,FALSE,FALSE,spring,22602
01/04/2015,8.75,NA,5,60.5,31.70833333,scattered_clouds,NA,FALSE,FALSE,spring,23539
02/04/2015,9.25,NA,6.5,71.25,14.8125,clear,NA,FALSE,FALSE,spring,22682
03/04/2015,9.5,NA,8.75,90.5,7.916666667,rain,NA,TRUE,FALSE,spring,11298
04/04/2015,9,NA,7,76,12.26086957,broken_clouds,NA,FALSE,TRUE,spring,12864
05/04/2015,8.25,NA,7,69.75,7.020833333,broken_clouds,NA,FALSE,TRUE,spring,19369
06/04/2015,8.75,NA,6.25,73.75,13.35416667,clear,NA,TRUE,FALSE,spring,25439
07/04/2015,12,NA,12,71.5,6.604166667,clear,NA,FALSE,FALSE,spring,29441
08/04/2015,11,NA,11,77,11.02083333,clear,NA,FALSE,FALSE,spring,30643
09/04/2015,10.25,NA,10,83.5,10.5625,clear,NA,FALSE,FALSE,spring,31520
10/04/2015,13.5,NA,13.5,65.25,11.91666667,clear,NA,FALSE,FALSE,spring,32052
11/04/2015,11.75,NA,11.75,63.75,21.6875,clear,NA,FALSE,TRUE,spring,25113
12/04/2015,11.5,NA,11,59,20.20833333,clear,NA,FALSE,TRUE,spring,29204
13/04/2015,11.25,NA,11.25,69.5,9.729166667,cloudy,NA,FALSE,FALSE,spring,28048
14/04/2015,15.5,NA,15.5,62,17.16666667,clear,NA,FALSE,FALSE,spring,34519
15/04/2015,17,NA,17,54.75,14.0625,clear,NA,FALSE,FALSE,spring,37470
16/04/2015,11,NA,11,65.75,19.625,clear,NA,FALSE,FALSE,spring,30489
17/04/2015,10,NA,7.25,69,23.64583333,NA,NA,FALSE,FALSE,spring,29796
18/04/2015,9.5,NA,6.5,65.25,22.58333333,scattered_clouds,NA,FALSE,TRUE,spring,29595
19/04/2015,9,NA,6.75,64,11.60416667,cloudy,NA,FALSE,TRUE,spring,19736
20/04/2015,10.5,NA,10,66.75,13.85416667,clear,NA,FALSE,FALSE,spring,32057
21/04/2015,11.5,NA,11.5,65.75,12.75,clear,NA,FALSE,FALSE,spring,34908
22/04/2015,10,NA,8.5,70.25,16.85416667,clear,NA,FALSE,FALSE,spring,32381
23/04/2015,9,NA,7.25,73.75,13.20833333,clear,NA,FALSE,FALSE,spring,32773
24/04/2015,13.5,NA,13.5,68.5,14.16666667,clear,NA,FALSE,FALSE,spring,32102
25/04/2015,13,NA,13,82,18.39583333,rain,NA,FALSE,TRUE,NA,25194
26/04/2015,9.75,NA,8,85.75,11.1875,broken_clouds,NA,FALSE,TRUE,spring,19427
27/04/2015,9.75,NA,NA,55,10.47916667,clear,NA,FALSE,FALSE,spring,30489
28/04/2015,9.75,NA,7.75,56,23.04166667,clear,NA,FALSE,FALSE,spring,31783
29/04/2015,9.75,NA,7,71,18.64583333,clear,NA,FALSE,FALSE,spring,26030
30/04/2015,11.25,NA,NA,59,18.29166667,NA,NA,FALSE,FALSE,spring,31621
01/05/2015,9,NA,6,63,18.875,scattered_clouds,NA,FALSE,FALSE,spring,29579
02/05/2015,10.25,NA,8,76,21.0625,clear,NA,FALSE,TRUE,spring,22231
03/05/2015,14.75,NA,14.75,85.5,21.75,broken_clouds,NA,FALSE,TRUE,spring,21165
04/05/2015,14,NA,14,68.75,18.8125,scattered_clouds,NA,TRUE,FALSE,spring,26795
05/05/2015,14.75,NA,14.75,67.25,31.04166667,scattered_clouds,NA,FALSE,FALSE,spring,26488
06/05/2015,13,NA,NA,67.5,32.16666667,rain,NA,FALSE,FALSE,spring,24438
07/05/2015,12.5,NA,12.5,65,19.625,scattered_clouds,NA,FALSE,FALSE,spring,31144
08/05/2015,14,NA,14,74,12.10416667,NA,NA,FALSE,FALSE,spring,26878
09/05/2015,14.25,NA,14.25,58,26.27083333,broken_clouds,NA,FALSE,TRUE,spring,27810
10/05/2015,15.25,NA,15.25,63.25,13.6875,scattered_clouds,NA,FALSE,TRUE,spring,32226
11/05/2015,16.5,NA,16.5,62.5,17.25,clear,NA,FALSE,FALSE,spring,33719
12/05/2015,13.75,NA,NA,52.75,23.22916667,clear,NA,FALSE,FALSE,spring,33820
13/05/2015,13.25,NA,13.25,58.5,11.66666667,clear,NA,FALSE,FALSE,spring,36699
14/05/2015,10,NA,7,86,21.375,rain,NA,FALSE,FALSE,NA,15609
15/05/2015,12,NA,12,63.75,14.0625,scattered_clouds,NA,FALSE,FALSE,spring,32343
16/05/2015,15.25,NA,15.25,52.5,19.91666667,clear,NA,FALSE,TRUE,spring,32526
17/05/2015,13.75,NA,13.75,54.5,17.16666667,clear,NA,FALSE,TRUE,spring,31323
18/05/2015,12,NA,12,72,25.10416667,scattered_clouds,NA,FALSE,FALSE,spring,24288
19/05/2015,10.75,NA,10.25,64.5,24.27083333,scattered_clouds,NA,FALSE,FALSE,spring,28331
20/05/2015,12,NA,12,60.25,18.6875,clear,NA,FALSE,FALSE,spring,30534
21/05/2015,15.5,NA,15.5,49.25,15.75,clear,NA,FALSE,FALSE,spring,34833
22/05/2015,18,NA,18,64,13.66666667,clear,NA,FALSE,FALSE,spring,33435
23/05/2015,15,NA,15,71,15.02083333,NA,NA,FALSE,TRUE,spring,23849
24/05/2015,16.5,NA,16.5,65,11.47916667,broken_clouds,NA,FALSE,TRUE,spring,30018
25/05/2015,14,NA,14,61.75,13.60416667,scattered_clouds,NA,TRUE,FALSE,spring,29502
26/05/2015,14.75,NA,14.75,59,14.60416667,clear,NA,FALSE,FALSE,spring,34809
27/05/2015,14.75,NA,14.75,59,16.6875,clear,NA,FALSE,FALSE,spring,36407
28/05/2015,15,NA,15,45.75,23.20833333,clear,NA,FALSE,FALSE,spring,34387
29/05/2015,12.25,NA,12.25,63,22.20833333,scattered_clouds,NA,FALSE,FALSE,spring,26023
30/05/2015,13,NA,13,58.5,17.83333333,clear,NA,FALSE,TRUE,spring,29206
31/05/2015,14.25,NA,14.25,80.75,22.33333333,rain,NA,FALSE,TRUE,spring,14998
01/06/2015,13,NA,13,64.25,23.64583333,scattered_clouds,NA,FALSE,FALSE,summer,27864
02/06/2015,16,NA,16,77,33.52083333,broken_clouds,NA,FALSE,FALSE,summer,27939
03/06/2015,16,NA,16,50.75,17.58333333,clear,NA,FALSE,FALSE,NA,35377
04/06/2015,16.75,NA,16.75,59.5,12.85416667,clear,NA,FALSE,FALSE,summer,39451
05/06/2015,21.5,NA,21.5,60,19.45238095,clear,NA,FALSE,FALSE,summer,34563
06/06/2015,15.75,NA,15.75,45.75,23.79166667,clear,NA,FALSE,TRUE,summer,32820
07/06/2015,14.75,NA,14.75,56.25,12.52083333,clear,NA,FALSE,TRUE,summer,35407
08/06/2015,13.25,NA,13.25,64,13.54166667,clear,NA,FALSE,FALSE,summer,32587
09/06/2015,12.5,NA,12.5,56.5,21.02083333,scattered_clouds,NA,FALSE,FALSE,summer,33255
10/06/2015,14.25,NA,14.25,59,21.95833333,scattered_clouds,NA,FALSE,FALSE,summer,35707
11/06/2015,17.5,NA,17.5,62,20.41666667,clear,NA,FALSE,FALSE,summer,38808
12/06/2015,18.25,NA,18.25,69,12.20833333,clear,NA,FALSE,FALSE,summer,35172
13/06/2015,17.25,NA,17.25,83,18.33333333,cloudy,NA,FALSE,TRUE,summer,30298
14/06/2015,14.5,NA,NA,80.75,13.14583333,broken_clouds,NA,FALSE,TRUE,summer,25235
15/06/2015,13.5,NA,13.5,63,16.875,scattered_clouds,NA,FALSE,FALSE,summer,34558
16/06/2015,17.75,NA,17.75,60,8.125,clear,NA,FALSE,FALSE,NA,37923
17/06/2015,20.25,NA,20.25,66.5,21.91666667,clear,NA,FALSE,FALSE,summer,38591
18/06/2015,18.25,NA,18.25,54.25,18.08333333,clear,NA,FALSE,FALSE,summer,38687
19/06/2015,15.25,NA,15.25,61,16.02083333,scattered_clouds,NA,FALSE,FALSE,summer,35966
20/06/2015,17.5,NA,17.5,72,9.75,broken_clouds,NA,FALSE,TRUE,summer,26295
21/06/2015,17.25,NA,17.25,58.25,23.04166667,broken_clouds,NA,FALSE,TRUE,summer,30393
22/06/2015,14.25,NA,14.25,73.5,20.91666667,scattered_clouds,NA,FALSE,FALSE,summer,29557
23/06/2015,15.75,NA,15.75,60,14.10416667,broken_clouds,NA,FALSE,FALSE,summer,37472
24/06/2015,18.75,NA,18.75,54,16.08333333,NA,NA,FALSE,FALSE,NA,38940
25/06/2015,20,NA,20,55.5,13.54166667,clear,NA,FALSE,FALSE,summer,38673
26/06/2015,20.25,NA,20.25,57.5,15.91666667,clear,NA,FALSE,FALSE,summer,37019
27/06/2015,20,NA,20,59,17,clear,NA,FALSE,TRUE,summer,36581
28/06/2015,19,NA,NA,64,15.33333333,scattered_clouds,NA,FALSE,TRUE,summer,25706
29/06/2015,20.75,NA,20.75,54,13.41666667,clear,NA,FALSE,FALSE,summer,39082
30/06/2015,21.75,NA,21.5,53.75,14.89583333,clear,NA,FALSE,FALSE,summer,43326
01/07/2015,28.5,NA,29,46.75,17.3125,clear,NA,FALSE,FALSE,summer,42641
02/07/2015,22,NA,22,63,15.20833333,clear,NA,FALSE,FALSE,summer,38262
03/07/2015,19.75,NA,19.75,64.5,17.45833333,clear,NA,FALSE,FALSE,summer,39611
04/07/2015,21.5,NA,21.5,58.25,17.4375,clear,NA,FALSE,TRUE,NA,38283
05/07/2015,18,NA,18,66,13.72916667,clear,NA,FALSE,TRUE,summer,29716
06/07/2015,19.25,NA,NA,54.25,15.47916667,clear,NA,FALSE,FALSE,summer,38620
07/07/2015,19.25,NA,19.25,61.5,21.52083333,clear,NA,FALSE,FALSE,summer,37908
08/07/2015,17.75,NA,17.75,65,23.83333333,NA,NA,FALSE,FALSE,summer,41703
09/07/2015,18,NA,18,54.75,12.97916667,clear,NA,FALSE,FALSE,NA,72504
10/07/2015,21.5,NA,21,42,12.85416667,clear,NA,FALSE,FALSE,summer,42779
11/07/2015,21,NA,NA,53.25,17.41666667,clear,NA,FALSE,TRUE,summer,42091
12/07/2015,18.25,NA,18.25,77.25,21.6875,broken_clouds,NA,FALSE,TRUE,summer,23240
13/07/2015,19,NA,19,83,20.04347826,broken_clouds,NA,FALSE,FALSE,summer,26920
14/07/2015,19,NA,19,78,15.97916667,broken_clouds,NA,FALSE,FALSE,summer,35348
15/07/2015,19.25,NA,19.25,81.75,12,broken_clouds,NA,FALSE,FALSE,summer,34574
16/07/2015,19.5,NA,19.5,63,22.04166667,broken_clouds,NA,FALSE,FALSE,summer,39306
17/07/2015,20.5,NA,20.5,62,19.95833333,scattered_clouds,NA,FALSE,FALSE,summer,38505
18/07/2015,18.25,NA,18.25,61,17.58333333,clear,NA,FALSE,TRUE,summer,38491
19/07/2015,20.25,NA,NA,47.5,18.97916667,clear,NA,FALSE,TRUE,summer,36693
20/07/2015,18,NA,18,77,13.35714286,broken_clouds,NA,FALSE,FALSE,summer,27163
21/07/2015,19.75,NA,19.75,62,22.39583333,NA,NA,FALSE,FALSE,summer,40696
22/07/2015,19,NA,19,58.5,17.75,scattered_clouds,NA,FALSE,FALSE,summer,37915
23/07/2015,18.75,NA,18.75,55,13.5625,clear,NA,FALSE,FALSE,summer,39092
24/07/2015,16.25,NA,16.25,78.5,11.45833333,rain,NA,FALSE,FALSE,summer,16034
25/07/2015,17.25,NA,17.25,53,19.91666667,clear,NA,FALSE,TRUE,summer,32608
26/07/2015,15,NA,15,80.25,16.25,clear,NA,FALSE,TRUE,summer,12398
27/07/2015,17.25,NA,17.25,66,28.20833333,NA,NA,FALSE,FALSE,summer,31904
28/07/2015,16.75,NA,16.75,56,27.85416667,scattered_clouds,NA,FALSE,FALSE,summer,36101
29/07/2015,16,NA,16,61.5,19.66666667,scattered_clouds,NA,FALSE,FALSE,summer,36761
30/07/2015,15.75,NA,15.75,60,14.85416667,scattered_clouds,NA,FALSE,FALSE,summer,36145
31/07/2015,17.75,NA,17.75,50.5,8.1875,clear,NA,FALSE,FALSE,summer,36675
01/08/2015,18,NA,18,56.5,12.60416667,clear,NA,FALSE,TRUE,summer,43017
